title,category,date,longitude,latitude,year,month
"Range 6 Wildfire, Perry, Mississippi",Wildfires,2026-02-22 15:35:00+00:00,-89.061656,31.090807,2026,2
"Rx Newton 1414 Prescribed Fire, Newton, Texas",Wildfires,2026-02-22 10:29:00+00:00,-93.7729,31.121,2026,2
"RX OK-SLR F&amp;G Prescribed Fire, Alfalfa, Oklahoma",Wildfires,2026-02-22 09:57:00+00:00,-98.176574,36.772965,2026,2
"RX PCS Johnson Creek Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-22 09:33:00+00:00,-94.168021,34.700015,2026,2
"RX Birmingham Prescribed Fire, Baxter, Arkansas",Wildfires,2026-02-22 09:17:00+00:00,-92.37075,36.08075,2026,2
"Wolf Creek RX Prescribed Fire, Alexander, Illinois",Wildfires,2026-02-22 09:06:00+00:00,-89.350101,37.204816,2026,2
"RX Avant 3 and 7 Prescribed Fire, Garland, Arkansas",Wildfires,2026-02-22 08:24:00+00:00,-93.342783,34.630167,2026,2
"ROCKY (49) Wildfire, Osceola, Florida",Wildfires,2026-02-21 23:40:00+00:00,-81.1619444,28.0908333,2026,2
"Greene - Hwy 57 Wildfire, Greene, Mississippi",Wildfires,2026-02-21 21:22:00+00:00,-88.4905556,31.2977778,2026,2
"RX DFR LEDOUX WEST Prescribed Fire, Okmulgee, Oklahoma",Wildfires,2026-02-21 09:45:00+00:00,-96.001897,35.584754,2026,2
"ANF Bannister C-11 RX Prescribed Fire, San Augustine, Texas",Wildfires,2026-02-21 09:23:00+00:00,-94.2402,31.388283,2026,2
"Big Barren Smith RX Prescribed Fire, Carter, Missouri",Wildfires,2026-02-21 09:19:00+00:00,-91.204848,36.883271,2026,2
"DCNF C 48/49/50 RX Prescribed Fire, Houston, Texas",Wildfires,2026-02-21 09:18:00+00:00,-95.09872,31.378585,2026,2
"RX No Mans Land North and South Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-21 08:16:00+00:00,-93.864444,34.424722,2026,2
"RX Avant 2 Prescribed Fire, Garland, Arkansas",Wildfires,2026-02-21 08:03:00+00:00,-93.363667,34.633639,2026,2
"RX South Fouche Cove Unit 3 Prescribed Fire, Perry, Arkansas",Wildfires,2026-02-21 07:58:00+00:00,-93.100028,34.933417,2026,2
"Flatwoods RX Prescribed Fire, Washington, Missouri",Wildfires,2026-02-20 16:58:00+00:00,-90.949829,37.928648,2026,2
"Bunker West RX Prescribed Fire, Dent, Missouri",Wildfires,2026-02-20 16:56:00+00:00,-91.239783,37.441783,2026,2
"RX PCS North White Oak 4 Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-20 10:24:00+00:00,-93.869617,35.001844,2026,2
"RX PCS Henry Mountain 1 Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-20 10:16:00+00:00,-94.231248,34.82457,2026,2
"RX GREENHAW Prescribed Fire, Newton, Arkansas",Wildfires,2026-02-20 09:56:00+00:00,-93.0302,35.791717,2026,2
"RX LSF 13 North Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-20 09:52:00+00:00,-93.547778,34.521667,2026,2
"RX Huckleberry Flats Prescribed Fire, Logan, Arkansas",Wildfires,2026-02-20 09:51:00+00:00,-93.7065,35.169,2026,2
"Pineknot North RX Prescribed Fire, Carter, Missouri",Wildfires,2026-02-20 09:17:00+00:00,-91.1278,36.9066,2026,2
"RX Cartwright Prescribed Fire, Stone, Arkansas",Wildfires,2026-02-20 09:15:00+00:00,-92.11,36.0,2026,2
"RX AVANT 1 Prescribed Fire, Garland, Arkansas",Wildfires,2026-02-20 08:39:00+00:00,-93.3748,34.641383,2026,2
"RX Wildhorse Prescribed Fire, Le Flore, Oklahoma",Wildfires,2026-02-20 08:34:00+00:00,-94.7656,34.7939,2026,2
"RX Blackfork Bravo Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-20 08:28:00+00:00,-94.311944,34.759167,2026,2
"PIne Hills RX Prescribed Fire, Union, Illinois",Wildfires,2026-02-20 08:22:00+00:00,-89.438,37.566,2026,2
"Cluster Wildfire, Winn, Louisiana",Wildfires,2026-02-20 08:16:00+00:00,-92.804444,31.888333,2026,2
"Poor Farm Wildfire, Pittsburg, Oklahoma",Wildfires,2026-02-19 19:56:00+00:00,-95.5269444,34.7480556,2026,2
"Tiger Tank Wildfire, Perry, Mississippi",Wildfires,2026-02-19 18:40:00+00:00,-89.140899,31.09401,2026,2
"Andrew Lane Wildfire, Seward, Kansas",Wildfires,2026-02-19 18:20:00+00:00,-100.74897,37.133335,2026,2
"Slab RX Prescribed Fire, Texas, Missouri",Wildfires,2026-02-19 16:14:00+00:00,-92.005,37.551667,2026,2
"Morning Wildfire, Beaver, Oklahoma",Wildfires,2026-02-19 11:27:00+00:00,-100.8355556,36.6975,2026,2
"RX PCS Shamshire 1 Prescribed Fire, Scott, Arkansas",Wildfires,2026-02-19 11:06:00+00:00,-94.151752,34.747884,2026,2
"DCNF C-1 East RX Prescribed Fire, Houston, Texas",Wildfires,2026-02-19 09:53:00+00:00,-95.342861,31.47275,2026,2
"SHNF C-92 RX Prescribed Fire, San Jacinto, Texas",Wildfires,2026-02-19 09:08:00+00:00,-95.130367,30.5323,2026,2
"RX Little Fir 12 Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-19 08:36:00+00:00,-93.491944,34.611111,2026,2
"RX Big Branch Prescribed Fire, Montgomery, Arkansas",Wildfires,2026-02-19 08:28:00+00:00,-93.573611,34.627778,2026,2
"Drowning Creek Wildfire, Delaware, Oklahoma",Wildfires,2026-02-18 21:52:00+00:00,-94.8433333,36.4488889,2026,2
"Miller Creek 08 RX Prescribed Fire, Escambia, Alabama",Wildfires,2026-02-18 18:07:00+00:00,-86.742073,31.075666,2026,2
"Compartment 126 RX Prescribed Fire, Jones, Georgia",Wildfires,2026-02-18 15:27:00+00:00,-83.530183,33.1503,2026,2
"County Road 89 Wildfire, Weld, Colorado",Wildfires,2026-02-18 14:23:00+00:00,-104.22716,40.08107,2026,2
"EAST TOWER Wildfire, Osage, Oklahoma",Wildfires,2026-02-18 13:03:00+00:00,-96.135252,36.770772,2026,2
"RX WILEY Prescribed Fire, Conway, Arkansas",Wildfires,2026-02-18 10:21:00+00:00,-92.5122,35.27,2026,2
"DCNF C-1 RX Prescribed Fire, Houston, Texas",Wildfires,2026-02-18 10:12:00+00:00,-95.342861,31.47275,2026,2
"DeSoto BB 8359 C610 RX Prescribed Fire, Stone, Mississippi",Wildfires,2026-02-18 10:04:00+00:00,-89.231267,30.68835,2026,2
"ANF Monterey C-53 RX Prescribed Fire, Angelina, Texas",Wildfires,2026-02-18 09:42:00+00:00,-94.405467,31.20405,2026,2
"Rx Archer 1380 Prescribed Fire, Archer, Texas",Wildfires,2026-02-18 09:39:00+00:00,-98.526914,33.44498,2026,2
"SNF Mclemore Hills RX 106/107/108/109 Prescribed Fire, Sabine, Texas",Wildfires,2026-02-18 09:34:00+00:00,-93.761467,31.259533,2026,2
"Big Muddy RX Prescribed Fire, Jackson, Illinois",Wildfires,2026-02-18 09:30:00+00:00,-89.4351,37.6449,2026,2
"County Rd 169 Wildfire, Elbert, Colorado",Wildfires,2026-02-18 09:18:00+00:00,-103.869,39.1212,2026,2
"Pete White RX Prescribed Fire, Clay, Alabama",Wildfires,2026-02-18 09:18:00+00:00,-86.071944,33.245,2026,2
